"Area name","Area code","Area type","Reporting date","Daily hospital deaths","Cumulative hospital deaths"
"United Kingdom","K02000001","Country - UK","2020-03-06",1,1
"England","E92000001","Country","2020-03-06",null,1
"England","E92000001","Country","2020-03-07",1,2
"United Kingdom","K02000001","Country - UK","2020-03-07",1,2
"England","E92000001","Country","2020-03-08",0,2
"United Kingdom","K02000001","Country - UK","2020-03-08",0,2
"England","E92000001","Country","2020-03-09",1,3
"United Kingdom","K02000001","Country - UK","2020-03-09",1,3
"United Kingdom","K02000001","Country - UK","2020-03-10",4,7
"England","E92000001","Country","2020-03-10",4,7
"United Kingdom","K02000001","Country - UK","2020-03-11",0,7
"England","E92000001","Country","2020-03-11",0,7
"United Kingdom","K02000001","Country - UK","2020-03-12",2,9
"England","E92000001","Country","2020-03-12",2,9
"United Kingdom","K02000001","Country - UK","2020-03-13",1,10
"England","E92000001","Country","2020-03-13",1,10
"United Kingdom","K02000001","Country - UK","2020-03-14",18,28
"England","E92000001","Country","2020-03-14",18,28
"England","E92000001","Country","2020-03-15",14,42
"Scotland","S92000003","Country","2020-03-15",null,1
"United Kingdom","K02000001","Country - UK","2020-03-15",15,43
"United Kingdom","K02000001","Country - UK","2020-03-16",22,65
"England","E92000001","Country","2020-03-16",22,64
"Scotland","S92000003","Country","2020-03-16",0,1
"Scotland","S92000003","Country","2020-03-17",0,1
"England","E92000001","Country","2020-03-17",15,79
"United Kingdom","K02000001","Country - UK","2020-03-17",16,81
"Wales","W92000004","Country","2020-03-17",null,1
"England","E92000001","Country","2020-03-18",33,112
"Scotland","S92000003","Country","2020-03-18",1,2
"United Kingdom","K02000001","Country - UK","2020-03-18",34,115
"Wales","W92000004","Country","2020-03-18",0,1
"England","E92000001","Country","2020-03-19",42,154
"United Kingdom","K02000001","Country - UK","2020-03-19",43,158
"Scotland","S92000003","Country","2020-03-19",1,3
"Wales","W92000004","Country","2020-03-19",0,1
"Northern Ireland","N92000002","Country","2020-03-20",null,1
"Scotland","S92000003","Country","2020-03-20",3,6
"United Kingdom","K02000001","Country - UK","2020-03-20",36,194
"Wales","W92000004","Country","2020-03-20",0,1
"England","E92000001","Country","2020-03-20",32,186
"Northern Ireland","N92000002","Country","2020-03-21",0,1
