"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"England","E92000001","Country","2020-01-30",1,1
"York","E06000014","Upper tier local authority","2020-01-30",1,1
"Yorkshire and The Humber","E12000003","Region","2020-01-30",1,1
"Kent","E10000016","Upper tier local authority","2020-01-31",1,1
"South East","E12000008","Region","2020-01-31",1,1
"England","E92000001","Country","2020-01-31",1,2
"Yorkshire and The Humber","E12000003","Region","2020-02-03",1,2
"Devon","E10000008","Upper tier local authority","2020-02-03",2,2
"England","E92000001","Country","2020-02-03",6,8
"East of England","E12000006","Region","2020-02-03",1,1
"Barnsley","E08000016","Upper tier local authority","2020-02-03",1,1
"South East","E12000008","Region","2020-02-03",1,2
"South West","E12000009","Region","2020-02-03",2,2
"Kent","E10000016","Upper tier local authority","2020-02-03",1,2
"Hertfordshire","E10000015","Upper tier local authority","2020-02-03",1,1
"England","E92000001","Country","2020-02-05",1,9
"South East","E12000008","Region","2020-02-05",1,3
"Brighton and Hove","E06000043","Upper tier local authority","2020-02-05",1,1
"England","E92000001","Country","2020-02-08",3,12
"South East","E12000008","Region","2020-02-08",3,6
"Brighton and Hove","E06000043","Upper tier local authority","2020-02-08",3,4
"South East","E12000008","Region","2020-02-09",1,7
"Brighton and Hove","E06000043","Upper tier local authority","2020-02-09",1,5
"England","E92000001","Country","2020-02-09",1,13
"London","E12000007","Region","2020-02-11",1,1
"Lewisham","E09000023","Upper tier local authority","2020-02-11",1,1
"England","E92000001","Country","2020-02-11",1,14
"England","E92000001","Country","2020-02-12",1,15
"Worcestershire","E10000034","Upper tier local authority","2020-02-12",1,1
"West Midlands","E12000005","Region","2020-02-12",1,1
"Ealing","E09000009","Upper tier local authority","2020-02-13",1,1
"England","E92000001","Country","2020-02-13",1,16
"London","E12000007","Region","2020-02-13",1,2
"England","E92000001","Country","2020-02-14",1,17
"England","E92000001","Country","2020-02-16",1,18
"London","E12000007","Region","2020-02-16",1,3
"Barnet","E09000003","Upper tier local authority","2020-02-16",1,1
"Enfield","E09000010","Upper tier local authority","2020-02-17",1,1
"England","E92000001","Country","2020-02-17",1,19
"London","E12000007","Region","2020-02-17",1,4
"England","E92000001","Country","2020-02-19",1,20
"Hackney","E09000012","Upper tier local authority","2020-02-19",1,1
"London","E12000007","Region","2020-02-19",1,5
"East Midlands","E12000004","Region","2020-02-21",1,1
"England","E92000001","Country","2020-02-21",1,21
"Nottinghamshire","E10000024","Upper tier local authority","2020-02-21",1,1
"South East","E12000008","Region","2020-02-23",1,8
"Islington","E09000019","Upper tier local authority","2020-02-23",1,1
"Warwickshire","E10000031","Upper tier local authority","2020-02-23",1,1
"Redbridge","E09000026","Upper tier local authority","2020-02-23",1,1
"West Midlands","E12000005","Region","2020-02-23",1,2
"England","E92000001","Country","2020-02-23",4,25
"London","E12000007","Region","2020-02-23",2,7
"Milton Keynes","E06000042","Upper tier local authority","2020-02-23",1,1
"West Sussex","E10000032","Upper tier local authority","2020-02-24",1,1
"England","E92000001","Country","2020-02-24",1,26
"South East","E12000008","Region","2020-02-24",1,9
"East Midlands","E12000004","Region","2020-02-25",1,2
"Derbyshire","E10000007","Upper tier local authority","2020-02-25",1,1
"London","E12000007","Region","2020-02-25",2,9
"Southwark","E09000028","Upper tier local authority","2020-02-25",2,2
"South East","E12000008","Region","2020-02-25",1,10
"England","E92000001","Country","2020-02-25",4,30
"Surrey","E10000030","Upper tier local authority","2020-02-25",1,1
"South West","E12000009","Region","2020-02-26",1,3
"England","E92000001","Country","2020-02-26",3,33
"Gloucestershire","E10000013","Upper tier local authority","2020-02-26",1,1
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-02-27",1,1
"Leicestershire","E10000018","Upper tier local authority","2020-02-27",1,1
"Hampshire","E10000014","Upper tier local authority","2020-02-27",1,1
"South East","E12000008","Region","2020-02-27",3,13
"Wokingham","E06000041","Upper tier local authority","2020-02-27",1,1
"Medway","E06000035","Upper tier local authority","2020-02-27",1,1
"East Midlands","E12000004","Region","2020-02-27",1,3
"England","E92000001","Country","2020-02-27",6,39
"London","E12000007","Region","2020-02-27",1,10
"Yorkshire and The Humber","E12000003","Region","2020-02-28",2,4
"Brent","E09000005","Upper tier local authority","2020-02-28",1,1
"Southwark","E09000028","Upper tier local authority","2020-02-28",1,3
"Barnet","E09000003","Upper tier local authority","2020-02-28",1,2
"England","E92000001","Country","2020-02-28",12,51
"Nottingham","E06000018","Upper tier local authority","2020-02-28",1,1
"Surrey","E10000030","Upper tier local authority","2020-02-28",1,2
"Essex","E10000012","Upper tier local authority","2020-02-28",1,1
"London","E12000007","Region","2020-02-28",5,15
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-02-28",1,1
"North West","E12000002","Region","2020-02-28",1,1
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-02-28",1,2
"Hounslow","E09000018","Upper tier local authority","2020-02-28",1,1
"South East","E12000008","Region","2020-02-28",1,14
"East of England","E12000006","Region","2020-02-28",1,2
"East Midlands","E12000004","Region","2020-02-28",1,4
"Wigan","E08000010","Upper tier local authority","2020-02-28",1,1
"Leeds","E08000035","Upper tier local authority","2020-02-28",1,1
"England","E92000001","Country","2020-02-29",4,55
"East Midlands","E12000004","Region","2020-02-29",1,5
"Northamptonshire","E10000021","Upper tier local authority","2020-02-29",1,1
"Sheffield","E08000019","Upper tier local authority","2020-02-29",1,1
"Yorkshire and The Humber","E12000003","Region","2020-02-29",1,5
"London","E12000007","Region","2020-02-29",1,16
"Kingston upon Thames","E09000021","Upper tier local authority","2020-02-29",1,1
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-03-01",1,1
"Yorkshire and The Humber","E12000003","Region","2020-03-01",4,9
"Walsall","E08000030","Upper tier local authority","2020-03-01",1,1
"Gloucestershire","E10000013","Upper tier local authority","2020-03-01",1,2
"Stockport","E08000007","Upper tier local authority","2020-03-01",1,1
"Barnet","E09000003","Upper tier local authority","2020-03-01",1,3
"North West","E12000002","Region","2020-03-01",8,9
"South East","E12000008","Region","2020-03-01",3,17
"South West","E12000009","Region","2020-03-01",2,5
"Bradford","E08000032","Upper tier local authority","2020-03-01",1,1
"London","E12000007","Region","2020-03-01",8,24
"England","E92000001","Country","2020-03-01",31,86
"Wandsworth","E09000032","Upper tier local authority","2020-03-01",1,1
"West Midlands","E12000005","Region","2020-03-01",2,4
"Birmingham","E08000025","Upper tier local authority","2020-03-01",1,1
"Bolton","E08000001","Upper tier local authority","2020-03-01",1,1
"Bromley","E09000006","Upper tier local authority","2020-03-01",1,1
"Westminster","E09000033","Upper tier local authority","2020-03-01",1,1
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-01",1,1
"East of England","E12000006","Region","2020-03-01",3,5
"Hertfordshire","E10000015","Upper tier local authority","2020-03-01",3,4
"East Midlands","E12000004","Region","2020-03-01",1,6
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-01",1,1
"Hounslow","E09000018","Upper tier local authority","2020-03-01",1,2
"Wirral","E08000015","Upper tier local authority","2020-03-01",1,1
"Bury","E08000002","Upper tier local authority","2020-03-01",3,3
"Sheffield","E08000019","Upper tier local authority","2020-03-01",1,2
"Merton","E09000024","Upper tier local authority","2020-03-01",1,1
"Wiltshire","E06000054","Upper tier local authority","2020-03-01",1,1
"West Sussex","E10000032","Upper tier local authority","2020-03-01",2,3
"Ealing","E09000009","Upper tier local authority","2020-03-01",1,2
"Lancashire","E10000017","Upper tier local authority","2020-03-01",2,2
"Leicestershire","E10000018","Upper tier local authority","2020-03-01",1,2
"Leeds","E08000035","Upper tier local authority","2020-03-01",1,2
"England","E92000001","Country","2020-03-02",39,125
"Southwark","E09000028","Upper tier local authority","2020-03-02",1,4
"Liverpool","E08000012","Upper tier local authority","2020-03-02",1,1
"South West","E12000009","Region","2020-03-02",8,13
"Wandsworth","E09000032","Upper tier local authority","2020-03-02",1,2
"Staffordshire","E10000028","Upper tier local authority","2020-03-02",1,1
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-02",1,1
"North East","E12000001","Region","2020-03-02",1,1
"Torbay","E06000027","Upper tier local authority","2020-03-02",4,4
"Derbyshire","E10000007","Upper tier local authority","2020-03-02",2,3
"Trafford","E08000009","Upper tier local authority","2020-03-02",3,3
"Warwickshire","E10000031","Upper tier local authority","2020-03-02",2,3
"North West","E12000002","Region","2020-03-02",6,15
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-02",4,6
"Ealing","E09000009","Upper tier local authority","2020-03-02",1,3
"Devon","E10000008","Upper tier local authority","2020-03-02",3,5
"Oldham","E08000004","Upper tier local authority","2020-03-02",1,1
"Yorkshire and The Humber","E12000003","Region","2020-03-02",3,12
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-02",1,1
"East Midlands","E12000004","Region","2020-03-02",2,8
"Redbridge","E09000026","Upper tier local authority","2020-03-02",1,2
"Barnsley","E08000016","Upper tier local authority","2020-03-02",1,2
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-02",1,1
"Rotherham","E08000018","Upper tier local authority","2020-03-02",1,1
"West Midlands","E12000005","Region","2020-03-02",4,8
"Oxfordshire","E10000025","Upper tier local authority","2020-03-02",1,1
"York","E06000014","Upper tier local authority","2020-03-02",1,2
"Hillingdon","E09000017","Upper tier local authority","2020-03-02",1,1
"Birmingham","E08000025","Upper tier local authority","2020-03-02",1,2
"Hounslow","E09000018","Upper tier local authority","2020-03-02",1,3
"Camden","E09000007","Upper tier local authority","2020-03-02",2,2
"London","E12000007","Region","2020-03-02",12,36
"South East","E12000008","Region","2020-03-02",1,18
"Devon","E10000008","Upper tier local authority","2020-03-03",6,11
"South East","E12000008","Region","2020-03-03",9,27
"Lincolnshire","E10000019","Upper tier local authority","2020-03-03",2,2
"South West","E12000009","Region","2020-03-03",10,23
"England","E92000001","Country","2020-03-03",51,176
"Wigan","E08000010","Upper tier local authority","2020-03-03",2,3
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-03",1,1
"Kent","E10000016","Upper tier local authority","2020-03-03",1,3
"Surrey","E10000030","Upper tier local authority","2020-03-03",2,4
"East of England","E12000006","Region","2020-03-03",7,12
"Hounslow","E09000018","Upper tier local authority","2020-03-03",1,4
"West Midlands","E12000005","Region","2020-03-03",1,9
"Swindon","E06000030","Upper tier local authority","2020-03-03",1,1
"Wiltshire","E06000054","Upper tier local authority","2020-03-03",2,3
"East Midlands","E12000004","Region","2020-03-03",7,15
"Lambeth","E09000022","Upper tier local authority","2020-03-03",1,1
"Oxfordshire","E10000025","Upper tier local authority","2020-03-03",3,4
"Barnsley","E08000016","Upper tier local authority","2020-03-03",1,3
"Sheffield","E08000019","Upper tier local authority","2020-03-03",1,3
