"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"England","E92000001","Country","2020-01-30",1,1
"Yorkshire and The Humber","E12000003","Region","2020-01-30",1,1
"York","E06000014","Upper tier local authority","2020-01-30",1,1
"Kent","E10000016","Upper tier local authority","2020-01-31",1,1
"South East","E12000008","Region","2020-01-31",1,1
"England","E92000001","Country","2020-01-31",1,2
"Yorkshire and The Humber","E12000003","Region","2020-02-03",1,2
"Hertfordshire","E10000015","Upper tier local authority","2020-02-03",1,1
"South East","E12000008","Region","2020-02-03",1,2
"Barnsley","E08000016","Upper tier local authority","2020-02-03",1,1
"East of England","E12000006","Region","2020-02-03",1,1
"South West","E12000009","Region","2020-02-03",2,2
"Devon","E10000008","Upper tier local authority","2020-02-03",2,2
"Kent","E10000016","Upper tier local authority","2020-02-03",1,2
"England","E92000001","Country","2020-02-03",6,8
"England","E92000001","Country","2020-02-05",1,9
"South East","E12000008","Region","2020-02-05",1,3
"Brighton and Hove","E06000043","Upper tier local authority","2020-02-05",1,1
"South East","E12000008","Region","2020-02-08",3,6
"England","E92000001","Country","2020-02-08",3,12
"Brighton and Hove","E06000043","Upper tier local authority","2020-02-08",3,4
"England","E92000001","Country","2020-02-09",1,13
"South East","E12000008","Region","2020-02-09",1,7
"Brighton and Hove","E06000043","Upper tier local authority","2020-02-09",1,5
"Lewisham","E09000023","Upper tier local authority","2020-02-11",1,1
"England","E92000001","Country","2020-02-11",1,14
"London","E12000007","Region","2020-02-11",1,1
"West Midlands","E12000005","Region","2020-02-12",1,1
"England","E92000001","Country","2020-02-12",1,15
"Worcestershire","E10000034","Upper tier local authority","2020-02-12",1,1
"London","E12000007","Region","2020-02-13",1,2
"England","E92000001","Country","2020-02-13",1,16
"Ealing","E09000009","Upper tier local authority","2020-02-13",1,1
"England","E92000001","Country","2020-02-14",1,17
"England","E92000001","Country","2020-02-16",1,18
"London","E12000007","Region","2020-02-16",1,3
"Barnet","E09000003","Upper tier local authority","2020-02-16",1,1
"Enfield","E09000010","Upper tier local authority","2020-02-17",1,1
"London","E12000007","Region","2020-02-17",1,4
"England","E92000001","Country","2020-02-17",1,19
"Hackney","E09000012","Upper tier local authority","2020-02-19",1,1
"England","E92000001","Country","2020-02-19",1,20
"London","E12000007","Region","2020-02-19",1,5
"England","E92000001","Country","2020-02-21",1,21
"Nottinghamshire","E10000024","Upper tier local authority","2020-02-21",1,1
"East Midlands","E12000004","Region","2020-02-21",1,1
"Redbridge","E09000026","Upper tier local authority","2020-02-23",1,1
"West Midlands","E12000005","Region","2020-02-23",1,2
"London","E12000007","Region","2020-02-23",2,7
"Warwickshire","E10000031","Upper tier local authority","2020-02-23",1,1
"England","E92000001","Country","2020-02-23",4,25
"Milton Keynes","E06000042","Upper tier local authority","2020-02-23",1,1
"Islington","E09000019","Upper tier local authority","2020-02-23",1,1
"South East","E12000008","Region","2020-02-23",1,8
"South East","E12000008","Region","2020-02-24",1,9
"England","E92000001","Country","2020-02-24",1,26
"West Sussex","E10000032","Upper tier local authority","2020-02-24",1,1
"Derbyshire","E10000007","Upper tier local authority","2020-02-25",1,1
"South East","E12000008","Region","2020-02-25",1,10
"Surrey","E10000030","Upper tier local authority","2020-02-25",1,1
"England","E92000001","Country","2020-02-25",4,30
"East Midlands","E12000004","Region","2020-02-25",1,2
"London","E12000007","Region","2020-02-25",2,9
"Southwark","E09000028","Upper tier local authority","2020-02-25",2,2
"South West","E12000009","Region","2020-02-26",1,3
"England","E92000001","Country","2020-02-26",3,33
"Gloucestershire","E10000013","Upper tier local authority","2020-02-26",1,1
"Leicestershire","E10000018","Upper tier local authority","2020-02-27",1,1
"Hampshire","E10000014","Upper tier local authority","2020-02-27",1,1
"East Midlands","E12000004","Region","2020-02-27",1,3
"South East","E12000008","Region","2020-02-27",3,13
"England","E92000001","Country","2020-02-27",6,39
"Wokingham","E06000041","Upper tier local authority","2020-02-27",1,1
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-02-27",1,1
"London","E12000007","Region","2020-02-27",1,10
"Medway","E06000035","Upper tier local authority","2020-02-27",1,1
"Brent","E09000005","Upper tier local authority","2020-02-28",1,1
"South East","E12000008","Region","2020-02-28",1,14
"North West","E12000002","Region","2020-02-28",1,1
"England","E92000001","Country","2020-02-28",12,51
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-02-28",1,2
